question,answer
What are some other tests that might be done to detect iron deficiency or iron overload?,"Several other tests can also be used to help recognize problems with iron status.

Hemoglobin and hematocrit are tests that are performed as part of a complete blood count (CBC). A low value for either test indicates that a person has anemia. Iron deficiency is a very common cause of anemia. The average size of red cells (Mean Corpuscular Volume or MCV) and the average amount of hemoglobin in red cells (Mean Corpuscular Hemoglobin or MCH) are also measured in a CBC. In iron deficiency, insufficient hemoglobin is made, causing the red blood cells to be smaller than normal. Both MCV and MCH are low. In addition, the hemoglobin concentration in red cells (Mean Corpuscular Hemoglobin Concentration or MCHC) is decreased; the red cells in iron deficiency anemia look much paler than normal ones.
Soluble transferrin receptor (sTfR). This test may be used to detect iron deficiency anemia and distinguish it from anemia caused by chronic illness or inflammation. In patients with iron deficiency, the sTfR level is elevated.
Zinc Protoporphyrin (ZPP). The amount of zinc protoporphyrin in red cells is increased in iron deficiency. ZPP is sometimes used as a screening test in children and teens. However, the test is not specific for iron deficiency; thus, elevated values must be confirmed by other tests.
HFE gene test. Hemochromatosis is a genetic disease, found primarily in Caucasians, that causes the body to absorb too much iron. It is usually due to an inherited mutation in the HFE gene that affects the amount of iron absorbed from the digestive tract. The HFE gene test determines whether a person has the mutations that cause the disease. Read the article on Hemochromatosis to learn more."
What are some causes of anemia besides iron deficiency?,"There are many different conditions that can cause anemia other than iron deficiency. Some examples include vitamin B12 and folic acid deficiencies, cancer (e.g., leukemia, lymphoma, myelodysplastic syndrome), chronic infection or inflammation, and genetic disorders such as sickle cell disease and thalassemia. However, iron deficiency is a very common cause, which is why iron tests are so frequently performed. If iron tests rule out iron deficiency, another source for the anemia must be found. Read the article on Anemia to learn more."
What foods contain the most iron?,"Heme iron is the easiest form of iron for the body to absorb. It is found in meats and eggs. Non-heme iron is found in a wide variety of plants and in iron supplements. Iron-rich sources include green leafy vegetables such as spinach, collard greens, and kale, wheat germ, whole grain breads and cereals, raisins, and molasses. If you have been diagnosed with iron deficiency anemia or you are pregnant or breast feeding, vitamin pills or tablets may be needed to provide extra iron. Ask your healthcare practitioner about the right supplement for you."
Who needs iron supplements?,"The people who typically need iron supplements are pregnant women and those with documented iron deficiency. People should not take iron supplements before talking to their healthcare practitioner as excess iron can cause chronic iron overload. An overdose of iron pills can be toxic, especially to children."
Who needs iron supplements?,"No. Type 1 diabetes as well as other types of diabetes are screened for, diagnosed, and monitored using tests for blood glucose and/or A1c. The autoantibody tests can be used after diabetes is already diagnosed to help differentiate between type 1 and type 2 diabetes."
"Do the autoantibodies ICA, IAA, GADA, IA-2A or ZnT8A destroy the beta cells?","They are associated with beta cell destruction and reflect an ongoing autoimmune process, but they are not thought to cause the damage."
Can this test be done in my healthcare practitioner's office?,JAK2 mutation testing must be done in a laboratory that performs molecular testing. It is not offered by every laboratory and must often be sent out to a reference laboratory.
How long does it take for JAK2 mutation test results?,"It depends on the laboratory that is performing the test. Generally, results may be available within a few weeks."
Is there any reason to repeat a JAK2 mutation test?,"A healthcare practitioner may repeat this test if it was negative and the healthcare practitioner feels that the mutation may have been missed. One reason it might be negative is that the proportion of your cells that have the JAK2 V617F mutation may be low. Currently, the test is not nationally standardized, so the sensitivity of the test may vary somewhat from laboratory to laboratory. A second test done at a later time and/or sent to a different laboratory may detect the JAK2 V617F mutation if it is present.
Also, some healthcare practitioners may order a quantitative test periodically to monitor the change in the number of cells with the JAK2 V617F mutation over time. Results from repeated quantitative tests may be useful in monitoring the effectiveness of treatment if ongoing research shows that the JAK2 gene is an appropriate target for MPN therapies."
Are there other genetic mutations associated with MPNs?,"Yes, calreticulin (CALR) gene mutations (exon 9) are found in 20-25% of adult patients with essential thrombocythemia (ET) and 25-30% of adult patients with primary myelofibrosis (PMF). In addition, mutations in the myeloproliferative leukemia (MPL) gene are seen in 2-5% of adult ET patients and 3-5% of adult PMF patients, but not with polycythemia vera (PV). PV, ET and PMF are all rare in children and adolescents and although mutations might not be as common as in adults with these same diseases, not much is known. Genetic testing is also sometimes used to check for the presence or absence of a Philadelphia (Ph') chromosome or a BCR-ABL1 translocation in a person suspected of having chronic myeloid leukemia."
How large are kidney stones?,"Kidney stones may be as small as a grain of sand, as large as a golf ball, or even larger, with some filling up the entire collecting system of the kidney. These are sometimes called ""staghorn"" stones (calculi) because the shape of the collecting system resembles the antlers of a deer. They can cause problems either because they grow large enough to obstruct urine flow or because they become dislodged or break off and begin to travel from a kidney through the ureter, where they can cause temporary obstruction and stretch, irritate, and/or damage the walls of the ureter. This movement can cause abrupt, extremely severe pain that may be intermittent or continuous.
Many stones will eventually pass out of the body in the urine, but some are too large or have too irregular a shape for the body to expel. With very large stones, which typically cannot pass from the kidney into the ureters, and for smaller stones that get into but do not pass through the ureters, some form of treatment is needed."
"If I have had a kidney stone, what foods or drinks should I avoid ?  ","You should work with your healthcare provider to determine the best treatment for you as it may depend on the type of stone. If you had a stone, reducing salt and overly-salted foods are recommended (a total of <2,300 mg/day). If eating oxalate-rich foods, an adequate amount of calcium should accompany the meal. Limiting the intake of foods high in purine, such as red meat, organ meat, and shellfish, and increasing fruit and vegetable consumption may minimize the risk of stone formation."
Do I really need to save all of my urine for 24 hours?,"Yes, your healthcare provider needs to know how much urine you are producing over a 24-hour period (volume) and how much of each of the substances is present. Since the substances may be eliminated in the urine at varying rates, the 24-hour urine is a better representation than a single or random urine sample and is a consistent frame of reference."
Is it necessary to do both blood and urine tests?,That will depend on the information that your healthcare provider wants to evaluate. It is common to compare some substances in both the blood and the urine.
Can stones form in other parts of the urinary tract besides the kidney?,"Yes. For example, stones can form in the bladder; however, the reason for and the mechanism by which they form are different than for kidney stones. Instead of causes related to excreting excess amounts of a particular substance, bladder stones are typically caused by an inability to completely empty the bladder during urination. A bladder stone may be caused by some underlying urinary tract problem such as lack of bladder control, enlarged prostate, or urinary tract infection."
"In addition to stone testing, what other lab tests might be done?","Blood, urine, and 24-hour urine tests are often ordered to determine whether you produce excess chemicals that may contribute to the formation of kidney stones and to evaluate your overall health. The test results can help distinguish between a probable stone and other conditions that may have similar symptoms but require different treatment. Testing may include:

Blood and 24-hour urine tests for calcium, uric acid, creatinine, and sometimes oxalate, citrate, phosphate, and/or cystine
Urinalysis - to detect red and white blood cells, crystals, signs of infection, and to measure urine pH
Complete blood count (CBC) - to evaluate white blood cells for signs of infection"
Do I really have to filter all of my urine for this test?,"Yes, as long as you have a suspected stone and are instructed to do so by your healthcare provider. Since it is impossible to determine when the stone will pass, it is important to screen all of the urine in order to find and send it for analysis."
Can I just test my blood or urine instead of the stone?,"Blood and urine can provide important information about your condition, but they will not indicate exactly which chemical compounds constitute the stone. The more information your healthcare practitioner has, the better the chance that he or she can help you prevent stone recurrence."
How bad is the pain with kidney stones?,"It depends upon the stone and will vary from person to person, but it is often severe and sometimes must be treated with strong prescription pain medications. For most people, the pain is most intense when the stone is moving through the urinary tract."
"If I have had a kidney stone, should I avoid calcium?  ","You should work with your healthcare provider to determine the best treatment for you. If you had a stone with calcium in it, your healthcare practitioner may have you decrease your intake a modest amount, but the clinical picture is often less black and white than taking more or less. Some people absorb extra calcium from their food, but some excess calcium in the urine is related to an excess of sodium, so people who have had calcium-containing stones are often told to decrease salt intake rather than reducing calcium intake. Taking large doses of supplemental calcium may play a role in kidney stone formation. Sometimes drastic reductions in calcium can worsen stone formation as well as affect bone health."
How does a healthcare practitioner find a stone in my urinary tract?,The healthcare practitioner can use imaging tests to locate and evaluate a kidney stone. These tests can help determine whether a stone is likely to pass out of the body without medical intervention.
Who performs a kidney stone analysis?,"This testing requires specialized equipment and expertise. It is not offered by every laboratory. In most cases, your stone will be sent to a reference laboratory."
What are some of the specific methods used to analyze kidney stones?,Common methods of kidney stone analysis include infrared spectroscopy and X-ray diffractometry. You can read more about these and other methods at the web site for the Louis C. Herring and Company Kidney Stone Analysis Laboratory. 
Should everyone with cancer have KRAS mutation testing?,Testing is not generally indicated unless a person has colon cancer or non-small cell lung cancer.
Would this testing and drug therapy be useful for other types of cancer?,"It is possible, since KRAS mutations are found in other cancers. This is a focus for medical researchers, but it may be some time before the usefulness of the testing and therapy in other cancers is determined. For example, whether KRAS mutations are associated with less efficient EGFR-targeted therapy in pancreatic cancer patients remains controversial and requires further investigation."
Is it necessary to repeat a KRAS mutation test?,"This is not usually necessary but might occur if your health practitioner thought that the first sample tested might have been insufficient. In some cases, a health care provider may order a KRAS test that detects a mutation in another part of the DNA or another more rare KRAS mutation. Sometimes metastatic tumors may be not be accessible or have limited tissue for testing. In these cases, a sample (if available) from your primary cancer may be obtained for testing. Frequently, if the primary tumor has a KRAS mutation, so will the metastatic tumor."
Can this test be performed by my local laboratory?,"It may be available in some larger laboratories, but must often it will be sent to a reference laboratory. Depending on the laboratory, it may take a few days or weeks for results to be available."
Can this test be performed on my blood instead?,"Some medical laboratories can perform KRAS mutation testing on tumor tissue as well as bone marrow and blood. However, the research that evaluated the role of KRAS mutations in treatment response was based solely on tumor testing. Therefore, the preferred sample for KRAS testing is tumor tissue."
Is there anything I can do to decrease my lactate level?,"Generally, no. However, if your elevated lactate level is due to an underlying condition that can be addressed, such as uncontrolled diabetes or a substance that can be avoided, such as ethanol, then you may be able to lower it. If you have been diagnosed with a condition, such as a metabolic disorder, following your prescribed treatment regimen should control your lactate level. If the increase is due to a temporary condition, such as shock or infection, then it will usually return to normal after the condition has been resolved."
Why would a healthcare practitioner choose to measure lactate in a blood sample from an artery rather than blood from a vein?,"Lactate measurements from arterial blood are thought to be more accurate and, because a tourniquet is not used, they are not generally affected by the collection process. A healthcare practitioner may order an arterial lactate for these reasons or because a sample for a group of other tests called arterial blood gases (ABGs) is being collected at the same time and the same sample can be used for all tests. When other arterial blood tests are not being ordered, a healthcare practitioner may order a venous lactate because it provides an adequate evaluation of a person's lactate level and because the collection process is not as uncomfortable."
Are there other ways to measure lactate than by sending a blood sample to the lab for testing?,"Yes. Lactate may be measured using a small hand-held device much like a glucose meter at the point of care (POC, at a patient's bedside) instead of in a laboratory. This type of monitoring is useful, for example, in emergency departments and intensive care units where rapid results are vital to the care of critically ill people. However, since the methods of measurement are different, the results from lactate POC tests may not be comparable with those from tests performed in a laboratory."
"If the LD test is not specific, how can it be clinically useful?","The LD test can be useful because it can alert a healthcare practitioner that cellular injury is occurring. In a similar fashion, tests such as a C-reactive protein (CRP) warn that inflammation is occurring somewhere in the body."
Is there anything I can do to lower my LD?,"No, it is an indicator of injury that will typically return to normal when the underlying condition resolves. If someone has a chronic condition with ongoing tissue damage, such as may occur with liver disease, then increased LD concentrations may persist."
Should both a lactoferrin and a calprotectin test be done?,Current evidence suggests that there is not a significant benefit to performing both tests as they both detect intestinal inflammation.
Does it matter whether I have a lactoferrin or a calprotectin test?,"Calprotectin has been more extensively studied and is ordered more frequently, but in general they are both thought to be useful tests."
What can I do to decrease my lactoferrin?,"Lactoferrin is a reflection of intestinal inflammation and is not affected by lifestyle changes. If it is due to an infection, then it will most likely return to normal when the infection resolves. If it is due to inflammatory bowel disease, then it will rise and fall with disease activity."
Should everyone have lactose tolerance testing?,"Many people have some degree of lactose intolerance, especially as they age, but general testing is not considered necessary."
Is the breath test used for other things?,"Yes, other sugar ""loads"" can be given to examine other sugar (disaccharide) intolerances; however, lactose is the most commonly tested.
Other breath tests are available to help detect conditions, but they measure different substances and are unrelated to tolerance testing. Two examples are a breath test for Helicobacter pylori infection and alcohol (ethanol) testing."
Can I do anything to increase my production of lactase?,"No, lactase concentrations do not change with lifestyle changes. However, many people with lactose intolerance are able to digest small amounts of milk and are often able to tolerate yogurt and hard cheeses."
Does lactose intolerance only apply to breast milk and cow's milk?,"No, lactose is present in the milk of all mammals, including, for example, goat's milk."
Does soy milk have lactose in it?,"No. Most people with lactose intolerance can drink soy milk as well as other plant-based products, such as rice milk or almond milk."
Can I test my LDL cholesterol at home?,"There are tests available to use at home to measure total cholesterol. You prick your finger and put blood on a piece of paper that will change color based on your cholesterol level (or use your blood and a small device to do the same thing).
There are also kits available that have you collect a blood sample at home and then mail it to a reference laboratory, which will perform a lipid panel and send the results back to you."
How can I decrease my LDL-P?,"LDL-P can be altered by adopting a reduced-calorie diet, losing excess weight, and exercising regularly. The use of lipid-lowering drugs such as statins and PCSK9-inhibitors will significantly reduce LDL-P."
"What products in the U.S. still contain lead, besides paint and ceramics?","Some products that still contain lead include car batteries, solder, some pipes, ammunition, roofing, industrial paints, job sites, hobby areas, electronics, batteries, scrap metal recycling, some PVC, vinyl and plastics, brass objects including keys, costume jewelry, and X-ray shield materials."
How do people get exposed? Is touching these products enough to raise my blood lead level?,"Just holding a lead object in your hands won’t poison you. Most lead is present as an inorganic compound and does not move well through the skin. Breathing in or swallowing lead-laden dust may poison you, however. Situations that could lead to lead poisoning would be:

Touching surfaces covered with lead dust and then transferring the dust to your mouth with fingers, food, or toys
A toddler touching the windowsills in a pre-1978 house with their mouth or fingers and then swallowing lead dust or lead chips
Inhaling dust during a home renovation project on a house built before 1978, especially when using power sanders or other work practices that generate lead-contaminated dust
Ingesting lead through gardening in contaminated soil around the foundation of an older house or garage, or in soil contaminated with leaded gas along older highways, or abandoned industrial settings
Drinking water through lead pipes – nearly 10 million Americans get drinking water from pipes that are partially lead. In addition, high levels of lead are found in drinking water throughout the U.S., most particularly in Flint, MI.
Swallowing lead shot (shotgun ammunition), a curtain weight, or a lead toy and not passing it through your system
Inhaling fumes from burning lead-painted wood or battery casings in home fireplaces
Consumer products: 
	
Baby bibs, electrical cords, purses, garden hoses
Toys, art supplies, imitation leather, jewelry, hair dyes
Brass faucets, fishery sinkers, curtain weights"
What occupations might result in lead exposure?,"Some occupations that put people and their families at risk for lead exposure include:

Lead smelting
Construction
Steel welding
Bridge reconstruction
Firing range instruction and cleaners
Remodeling and refinishing older homes
Foundry work
Scrap metal recycling
Stained glass making
Using lead glazes in ceramics
Painting metal
Auto repair work
Electrician work
Cable splicing"
Are there ways to protect myself and my family from lead exposure?,"Yes. If your home was built before 1978:

Assume that you may have lead in the house, or get the house and the soil that surrounds it checked by a professional
Use cold water for drinking
Damp mop smooth floors and surfaces frequently to control dust
Vacuum carpets and upholstery to remove dust – use a HEPA vacuum filter if possible
Do a monthly check to look for chipping, peeling, or other damaged surfaces, especially in window areas and porches; repair any chipping, peeling, or damaged paint or surface as soon as it is observed, then thoroughly clean the area to remove lead dust
Learn how to do renovation and repair projects using lead-safe work practices to avoid creating more lead dust or contamination

For your child:

Frequently wash your child’s hands and toys to reduce lead dust contamination
Avoid using home remedies that contain lead
Keep your children (and pregnant women) away from lead hazards and out of the area during renovation or repair projects
Don’t let children put objects in their mouths that were not made to be used as a child’s toy, including keys, jewelry, or dirt
Get your child tested for lead at least at 1 and 2 years of age; contact your local health department to learn more about screening recommendations for your area
Eat a well-balanced diet with adequate calcium, iron, and vitamin C"
Are there ways to protect myself and my family if I have a job where I may be exposed to lead?,"Yes. If you are working in a job with potential exposure to lead dust or fumes:

Wash your hands before you eat, drink, or smoke
Eat, drink, and smoke in areas that are free from lead dust and fumes
Wear a properly fitted respirator with a HEPA filter (N-100 rating); shave your face to get the best fit
Keep your street clothes in a clean place; change into different clothes and shoes before you work with lead
Shower immediately after working with lead, before you go home
Launder your work clothes at the work place or separately from other family members’ clothes"
Is there a blood test for Legionella?,"Blood tests for Legionella pneumophila antibody are no longer routinely performed but may be available from some reference laboratories. The test detects antibodies, the body's immune response to a legionella infection, in the blood. It is not useful for immediate clinical decision-making but can be ordered to confirm a recent infection. Usually two blood samples taken weeks apart are tested, and an increase in the level of antibodies against the bacteria indicates an active infection. A single positive antibody test cannot be used to diagnose a recent infection as up to 15% of the general population may have legionella antibodies in their blood, indicating exposure to the bacteria at some point in their life. Some people, such as those who have compromised immune systems, can have a legionella infection without having a normal antibody response."
"Besides tests for Legionella pneumophila, what other testing may be done?","Other tests may be performed to help evaluate a person's overall health status and to distinguish between conditions that cause similar symptoms. These may include:

Sputum culture
Gram stain
AFB testing
Complete blood count
Chemistry panel

Legionnaires disease can affect other blood test results. These tests are not used to help diagnose a legionella infection but may be additional clues for the healthcare provider and information about the person's health status. Often seen are:

Decreased sodium
Increased phosphate
Increased ESR and CRP
Increased liver enzymes

And also:

Blood and protein in the urine
On a Gram stain slide under the microscope, the presence of white blood cells but few or no bacteria. If Legionella bacteria are present, they typically appear as small, pale, Gram-negative (pink stained) variable-shaped rods."
Can water be tested for Legionella bacteria?,"Yes, and it frequently is tested to monitor complex water systems, to detect the source of legionellosis outbreaks, and to monitor the effectiveness of water treatment when Legionella bacteria are detected."
Should everyone with flu-like symptoms be tested for Legionella?,"Pontiac fever, the type of legionella infection that causes flu-like systems, is generally self-limiting and resolves in most cases without treatment, so testing is not considered routinely necessary. Testing might be warranted in cases where Legionnaires disease symptoms are associated with travel, hospitalization, a stay in an assisted-living facility, or other risk factors (e.g., smoking, older than age 50, chronic lung disease, etc)."
Why is it called Legionnaires disease?,The disease and bacteria were named after an incident in which a significant number of people who went to an American Legion convention in Philadelphia in 1976 developed pneumonia. A new type of bacteria was identified as the cause and was subsequently named Legionella. This outbreak caused illness in 182 people and resulted in 29 deaths.
What are the long-term consequences of pancreatitis?,"With acute pancreatitis, there is usually no long-term damage and often no further problems develop.  Chronic pancreatitis, which may present as a series of acute attacks, can cause permanent damage. As the pancreas becomes scarred, some people develop diabetes and/or the inability to digest foods, especially fats, leading to malnutrition. The lack of normal pancreatic enzymes may lead to adverse effects on food digestion and waste production, causing malabsorption, abdominal pain, greasy stools, and the formation of stones in the pancreas. Complications also include pancreatic cancer as well as osteoporosis. Even if the disease is controlled, the damage is often irreversible. If the disease progresses, it could lead to death."
Do elevated lipase levels always mean I have a pancreatic condition?,"In some cases, an elevated lipase level may be due to a condition other than pancreatitis. In pancreatitis, the lipase level rises quickly and drops in 8 to 14 days. In other conditions, the rise is usually not as great and the level may be maintained for a longer period. Moderately increased lipase values can occur in other conditions, such as kidney disease, and may also be due to decreased clearance from the blood, salivary gland inflammation, gallbladder inflammation, celiac disease, a bowel obstruction, or peptic ulcer disease. The lipase test is not, however, usually used to monitor these conditions. Your healthcare practitioner will determine whether you have a pancreatic disorder and will make a diagnosis based on your symptoms, medical history, and test results."
What does the test result mean (adults)?,"In general, healthy lipid levels help to maintain a healthy heart and lower the risk of heart attack or stroke. Your healthcare practitioner will take into consideration the results of each component of a lipid panel plus other risk factors to help determine your overall risk of coronary heart disease, whether treatment is necessary and, if so, which treatment will best help to lower your risk of heart disease.
Health organizations have different recommendations for treatment based on your predicted CVD risk.
Guidelines from the American College of Cardiology (ACC) and the American Heart Association (AHA) recommend that a risk calculator be used to determine your 10-year risk of CVD if you are age 40 to 75 and do not have heart disease. Many factors are considered in the calculation, including total cholesterol, LDL-C, HDL-C, age, gender, race, blood pressure, presence of diabetes, and smoking habit. An initial (baseline) risk should be calculated and then your risk can be tracked over time with each subsequent risk calculation. Ten-year risk is categorized below:



Calculated 10-Year Risk
Risk Category


Less than 5%
Low


5% to 7.4%
Borderline


7.5% to 19.9%
Intermediate


Greater than 20%
High



ACC and AHA recommend treatment with statins if you:

Have heart disease (diagnosed by medical history, physical exam, imaging scans, etc.)
Have LDL-C greater than 190 mg/dL (4.90 mmol/L)
Are age 40 to 75 years with diabetes and LDL-C 70-189 mg/dL (1.81-4.90 mmol/L) but do not have heart disease
Are age 40 to 75 years old and do not have diabetes or heart disease but have LDL-C level between 70-189 mg/dL (1.81-4.90 mmol/L) and 10-year risk of developing heart disease of greater than 7%

The U.S. Preventive Services Task Force (USPSTF) makes recommendations on the use of statins for treatment in adults ages 40 to 75 with no history of heart disease (i.e., no symptoms of coronary artery disease or stroke), based on risk factors (i.e., LDL-C greater than 130 mg/dL(3.37 mmol/L), HDL-C level less than 40 mg/dL(1.0 mmol/L), diabetes, high blood pressure, smoking) and the use of the risk calculator.

If you have one or more risk factors and a calculated 10-year CVD event risk of 10% or greater, USPSTF recommends the use of a low-to-moderate dose statin.
If you have one or more risk factors and your calculated 10-year CVD event risk is 7.5% to 10%, then the Task Force says your healthcare practitioner may choose to offer a low-to-moderate dose statin. This is because the probability that you will have a CVD event is lower, so the benefit of statin is likely to be smaller.

In adults ages 21 to 39, there is not enough evidence on the effect of screening for unhealthy lipid levels, according to the USPSTF. Also, in adults 76 years or older with no history of CVD, current evidence is insufficient to assess the balance of benefits and harms of preventive statin use.
Use of the risk calculator and ACC/AHA guidelines remains controversial and is evolving as more data become available. Some say that the current risk calculator can overestimate risk. Many still use older guidelines (2002) from the NCEP Adult Treatment Panel III to evaluate lipid levels and CVD risk, as summarized in the table below:



Test
Optimal or Desirable
Near/Above Optimal
Borderline High
High
Very High


LDL Cholesterol
Less than 100 mg/dL (2.59 mmol/L); with CVD or diabetes: less than 70 mg/dL (1.81 mmol/L)
100-129 mg/dL (2.59-3.34 mmol/L)
130-159 mg/dL (3.37-4.12 mmol/L)
160-189 mg/dL(4.15-4.90 mmol/L)
			 

Greater than 190 mg/dL (4.90 mmol/L)


Total Cholesterol
Less than 200 mg/dL (5.18 mmol/L)
 
200-239 mg/dL (5.18 to 6.18 mmol/L)
240 mg/dL (6.22 mmol/L) or higher
 


Fasting Triglycerides
Less than 150 mg/dL (1.70 mmol/L)
 
150-199 mg/dL(1.7-2.2 mmol/L)
200-499 mg/dL (2.3-5.6 mmol/L)
Greater than 500 mg/dL (5.6 mmol/L)


Non-HDL Cholesterol
Less than 130 mg/dL (3.37 mmol/L)
130-159 mg/dL (3.37-4.12mmol/L);
160-189 mg/dL (4.15-4.90 mmol/L)
190-219 mg/dL (4.9-5.7 mmol/L)
Greater than 220 mg/dL (5.7 mmol/L)



 



HDL Cholesterol
Low Level, Increased Risk
Average Level, Average Risk
High Level, Less than Average Risk


Women
Less than 50 mg/dL (1.3 mmol/L)
50-59 mg/dl (1.3-1.5 mmol/L)
60 mg/dL (1.55 mmol/L) or higher


Men
Less than 40 mg/dL (1.0 mmol/L)
40-50 mg/dL (1.0-1.3 mmol/L)
60 mg/dL (1.55 mmol/L) or higher



According to NCEP Adult Treatment Panel III guidelines, if you have LDL-C above the following target values and risk factors (e.g., family history, cigarette smoking, diabetes, high blood pressure), you require treatment.
The target LDL-C value is:

Less than 100 mg/dL (2.59 mmol/L) if you have heart disease or diabetes [and ideally less than 70 mg/dL (1.81 mmol/L)]
Less than 130 mg/dL (3.37 mmol/L) if you have 2 or more risk factors
Less than 160 mg/dL (4.14 mmol/L) if you have 0 or 1 risk factor"
"What does the test result mean (children, teens and young adults)?","A full, fasting lipid panel is recommended for screening children and teens with risk factors for developing heart disease, according to the American Academy of Pediatrics. Fasting prior to lipid screening in children without risk factors is unnecessary. Non-high-density lipoprotein cholesterol (non-HDL-C) is the recommended test for non-fasting lipid screening. Non-HDL-C-is calculated by testing for total cholesterol and HDL-C and taking the difference between the two levels. Recommended cut-off values include:



 
Test
Acceptable (mg/dL)
Borderline (mg/dL)
High (mg/dL)


Children and Teens (ages 2 to 18)
Total Cholesterol
Less than 170
170-199
Greater than or equal to 200


 
Non-HDL Cholesterol
Less than 120
120-144
Greater than or equal to 145


Young Adults (ages 19 to 24)
Total Cholesterol
Less than 190
190-224
Greater than or equal to 225


 
Non-HDL Cholesterol
Less than 150
150-189
Greater than or equal to 190



*Adapted from ""Expert panel on integrated guidelines for cardiovascular health and risk reduction in children and adolescents: Summary report."" Pediatrics 2011; 128."
What is the difference between primary CVD treatment and secondary treatment?,"Primary treatment is preventive. It is intended to help reduce your risk of having a first cardiovascular event (such as a heart attack or stroke). There are potential benefits – helping to prevent CVD from developing – but also potential risks/harms associated with taking statins or other lipid-lowering medications long-term. You and your healthcare practitioner need to weigh those benefits and risks.
Secondary treatment is therapy that is given when you have had a cardiovascular event or have been diagnosed with CVD. It will still likely involve statins (and/or other therapies) but is intended to help prevent another CVD event."
I had a screening test for cholesterol. It was less than 200 mg/dL (5.18 mmol/L). Do I need a lipid panel?,"If your total cholesterol is below 200 (5.18 mmol/L) and you have no family history of heart disease or other risk factors, a full lipid profile may not be necessary. However, an HDL cholesterol measurement would be advisable to assure that you do not have a low HDL-C."
Can I test my lipids at home?,"There are tests available to use at home to measure total cholesterol. You prick your finger and put blood on a piece of paper that will change color based on your cholesterol level (or use your blood and a small device to do the same thing).
There are also kits available that have you collect a blood sample at home and then mail it to a reference laboratory, which will then perform a lipid panel and send the results back to you."
Should everyone have an Lp(a) test done?,"Lp(a) is not a routinely ordered test. Guidelines from the American College of Cardiology and the American Heart Association state that elevated levels of Lp(a) are associated with an increased risk of early heart disease and are genetically determined but do not recommend widespread screening. Other guidelines recommend testing for individuals with a strong family history of early heart disease and/or high lipid levels, or those with intermediate cardiovascular risk, but do not recommend general screening."
Why would my healthcare practitioner want me to wait to test my lipids?,"In general, lipids should not be measured during a fever or major infection, within four weeks of a heart attack, a stroke, or major surgery, right after excessive alcohol intake, with severely uncontrolled diabetes, when a woman is pregnant, or during rapid weight loss."
Why would my healthcare practitioner order an Lp(a) more than once?,"Typically, the Lp(a) level is only tested once because it is usually fairly constant. Occasionally, your healthcare practitioner may order a second Lp(a) to confirm the initial level, especially if it was measured when you were ill, or to see if a woman's risk has increased significantly after menopause."
Can I have an Lp(a) test done in my healthcare practitioner's office?,The Lp(a) test requires specialized equipment to perform and is usually performed in a reference laboratory. Your sample may be sent out for testing.
Is there any way to lower my Lp(a)?,"Lp(a) levels are genetically determined and difficult to change. Niacin and estrogen (for postmenopausal women) have been shown to lower Lp(a) levels a small amount, but their effect appears to be short-term and it is not known if lowering Lp(a) actually lowers risk."
"If Lp(a) levels don't really change over my lifetime, why would my healthcare practitioner prescribe treatment?","Experts are currently not recommending drug treatments for elevated Lp(a), but some are suggesting that people with elevated Lp(a) and additional risk factors should strive to lower their LDL – the ""bad"" cholesterol, which may help lower their overall risk.. Treatment to lower your LDL cholesterol may help lower your overall risk. (See the article on LDL Cholesterol for details.)"
How widely available are liquid biopsies?,"Liquid biopsies are currently clinically available for only a few cancer types. These include metastatic breast, colon and prostate cancers, and non-small cell lung cancer.
While liquid biopsies continue to become commercially available and in some cases are FDA-approved, more research is needed to understand the benefits and limitations of these tests. For example, it is still unclear if using liquid biopsies to guide treatment actually improves outcomes for people with cancer.
Liquid biopsies are currently most useful in detecting mutations that predict response or resistance to treatment in lung cancer and for evaluating prognosis in select cancers. Over time, these tests may become a part of management of a wider array of cancers. Liquid biopsies are also showing promise as cancer screening tools in research settings, but none are currently FDA-approved as screening tests.
Some experts say that more research is needed before liquid biopsies are used in medical practice. In March 2018, a review jointly published by the American Society of Clinical Oncology and the College of American Pathologists concluded that currently, cell-free tumor DNA tests are not useful outside of clinical trials. The groups say that prospective studies are needed to evaluate how well liquid biopsies perform in diagnosing cancer, but such studies have not yet been conducted. The experts acknowledge, however, that research on these tests is progressing quickly and use of liquid biopsies will likely evolve in the near future."
"If I get a liquid biopsy, will I still need a tissue biopsy?","For diagnosis of your tumor, you will need a conventional tissue biopsy. As mentioned above, if your liquid biopsy is negative for certain mutations, you may need to have follow-up testing done on a conventional biopsy specimen. A liquid biopsy may miss details available from a conventional tissue biopsy and can't determine where in one's body a mutation has arisen.
In some situations, a liquid biopsy alone can provide sufficient information for making treatment decisions. It may be sufficient if, for example, the primary test is positive for a mutation or if a T790M mutation is detected and a tissue biopsy cannot be obtained. While liquid biopsies are promising and powerful tools, they complement but do not necessarily replace tissue biopsies for the foreseeable future."
